Ticker,Category,Exchange,Asset_Class
MDY,Other,US Listing,Equity
MUB,Other,US Listing,Equity
MUNY,Other,US Listing,Equity
NFTY,Other,US Listing,Equity
NOBL,Other,US Listing,Equity
NYF,Other,US Listing,Equity
OPPE,Other,US Listing,Equity
PALL,Precious Metals,US Listing,Commodity
PBD,Other,US Listing,Equity
PBW,Other,US Listing,Equity
PCY,Other,US Listing,Equity
PEY,Other,US Listing,Equity
PFF,Other,US Listing,Equity
PGX,Other,US Listing,Equity
PID,Other,US Listing,Equity
PPLT,Precious Metals,US Listing,Commodity
PRF,Other,US Listing,Equity
QETH,Ethereum Spot,US Listing,Equity
QQQ,Broad Market / Large Cap,US Listing,Equity
QQQM,Broad Market / Large Cap,US Listing,Equity
QUAL,Other,US Listing,Equity
RSP,Other,US Listing,Equity
RSPR,Other,US Listing,Equity
RSPS,Other,US Listing,Equity
RUT,Other,US Listing,Equity
RWJ,Other,US Listing,Equity
RWK,Other,US Listing,Equity
RWL,Other,US Listing,Equity
SCHA,Other,US Listing,Equity
SCHB,Other,US Listing,Equity
SCHD,Other,US Listing,Equity
SCHE,Other,US Listing,Equity
SCHF,Other,US Listing,Equity
SCHM,Other,US Listing,Equity
SCHO,Other,US Listing,Equity
SCHP,Other,US Listing,Equity
SCHR,Other,US Listing,Equity
SCHV,Other,US Listing,Equity
SCHX,Other,US Listing,Equity
SCHZ,Other,US Listing,Equity
SCZ,Other,US Listing,Equity
SDIV,Other,US Listing,Equity
SDY,Other,US Listing,Equity
SGOV,Fixed Income / Treasury,US Listing,Fixed Income
SH,Other,US Listing,Equity
SHM,Other,US Listing,Equity
SHV,Other,US Listing,Equity
SHY,Fixed Income / Treasury,US Listing,Fixed Income
SJNK,Other,US Listing,Equity
SLV,Precious Metals,US Listing,Commodity
SOYB,Other,US Listing,Equity
SPEM,Other,US Listing,Equity
SPHD,Other,US Listing,Equity
SPHY,Other,US Listing,Equity
SPIB,Other,US Listing,Equity
SPTL,Other,US Listing,Equity
SPTS,Other,US Listing,Equity
SPY,Broad Market / Large Cap,US Listing,Equity
SPYD,Other,US Listing,Equity
SPYM,Other,US Listing,Equity
SPYV,Other,US Listing,Equity
SRLN,Other,US Listing,Equity
STIP,Other,US Listing,Equity
SUB,Other,US Listing,Equity
SUSA,Other,US Listing,Equity
TAGS,Other,US Listing,Equity
TETH,Ethereum Spot,US Listing,Equity
TFI,Other,US Listing,Equity
TIP,Other,US Listing,Equity
TLT,Fixed Income / Treasury,US Listing,Fixed Income
TMDV,Other,US Listing,Equity
TRTY,Other,US Listing,Equity
UGA,Other,US Listing,Equity
UNG,Other,US Listing,Equity
USFR,Other,US Listing,Equity
USHY,Other,US Listing,Equity
USL,Other,US Listing,Equity
USMV,Other,US Listing,Equity
USO,Other,US Listing,Equity
VB,US Mid/Small / Factor,US Listing,Equity
VBK,US Mid/Small / Factor,US Listing,Equity
VBR,US Mid/Small / Factor,US Listing,Equity
VCIT,Other,US Listing,Equity
VCLT,Other,US Listing,Equity
VCSH,Other,US Listing,Equity
VEA,International Equity,US Listing,Equity
VEU,International Equity,US Listing,Equity
VGIT,Fixed Income / Treasury,US Listing,Fixed Income
VGK,Other,US Listing,Equity
VGSH,Fixed Income / Treasury,US Listing,Fixed Income
VIG,Other,US Listing,Equity
VIOG,Other,US Listing,Equity
VIXY,Other,US Listing,Equity
VLUE,Other,US Listing,Equity
VNQI,Other,US Listing,Equity
VO,US Mid/Small / Factor,US Listing,Equity
VOE,Other,US Listing,Equity
VONE,Other,US Listing,Equity
VONV,Other,US Listing,Equity
VOO,Broad Market / Large Cap,US Listing,Equity
VOOV,Other,US Listing,Equity
VOT,Other,US Listing,Equity
VPL,Other,US Listing,Equity
VSS,Other,US Listing,Equity
VT,Other,US Listing,Equity
VTEB,Other,US Listing,Equity
VTHR,Other,US Listing,Equity
VTI,Broad Market / Large Cap,US Listing,Equity
VTIP,Other,US Listing,Equity
VTV,US Mid/Small / Factor,US Listing,Equity
VTWO,Other,US Listing,Equity
VVV,Other,US Listing,Equity
VWO,International Equity,US Listing,Equity
VWOB,Other,US Listing,Equity
VXF,Other,US Listing,Equity
VXUS,International Equity,US Listing,Equity
VXX,Other,US Listing,Equity
VYM,Other,US Listing,Equity
VYMI,Other,US Listing,Equity
WEAT,Other,US Listing,Equity
XBI,Other,US Listing,Equity
XOP,Other,US Listing,Equity
XRT,Other,US Listing,Equity
XSD,Other,US Listing,Equity
XSP,Other,US Listing,Equity
XYLD,Other,US Listing,Equity
ZROZ,Other,US Listing,Equity
